"Student","StepID","Correct","KC_1","KC_2","KC_3","KC_4","KC_5"
"stu1",5059,1,0,0,0,0,0
"stu1",5064,1,0,0,0,0,0
"stu10",430,1,1,0,0,0,0
"stu10",462,1,0,0,1,0,0
"stu10",478,0,0,1,0,0,0
"stu10",479,1,0,1,0,0,0
"stu10",481,1,0,1,0,0,0
"stu10",484,1,0,1,0,0,0
"stu10",485,1,0,1,0,0,0
"stu10",486,1,0,0,0,0,0
"stu10",489,1,0,0,0,0,0
"stu10",495,0,0,0,0,0,0
"stu10",496,1,0,0,0,0,0
"stu10",497,1,0,0,0,0,1
"stu10",499,1,0,0,0,0,1
"stu10",506,1,0,0,0,0,0
"stu10",518,1,0,0,0,0,0
"stu10",531,1,0,0,0,0,0
"stu10",538,1,0,0,0,0,0
"stu10",585,1,0,0,0,0,1
"stu10",599,1,0,0,0,0,1
"stu10",624,0,0,0,0,0,1
"stu10",630,1,0,0,1,0,0
"stu10",651,1,0,0,1,0,0
"stu10",686,1,0,0,0,0,1
"stu10",698,1,0,0,0,0,1
"stu10",700,1,0,1,0,0,0
"stu10",709,1,0,0,0,0,0
"stu10",718,1,0,0,1,0,0
"stu10",733,0,0,0,1,0,0
"stu10",741,0,0,0,1,0,0
"stu10",742,1,0,0,1,0,0
"stu10",743,1,0,0,1,0,0
"stu10",747,0,0,0,1,0,0
"stu10",748,1,0,0,1,0,0
"stu10",757,1,0,0,1,0,0
"stu10",770,1,0,0,0,0,0
"stu10",805,0,0,0,0,0,0
"stu10",806,1,0,0,0,0,0
"stu10",808,1,0,0,0,0,0
"stu10",814,1,0,0,0,0,0
"stu10",863,1,0,0,0,0,1
"stu10",871,0,0,0,0,0,1
"stu10",873,1,0,0,0,0,1
"stu10",904,1,0,0,1,0,0
"stu10",907,0,0,0,1,0,0
"stu10",908,1,0,0,1,0,0
"stu10",925,1,0,0,0,0,1
"stu10",933,0,0,1,0,0,0
"stu10",937,0,0,0,0,0,0
"stu10",938,1,0,0,0,0,0
"stu10",939,1,0,1,0,0,0
"stu10",956,1,0,1,0,0,0
"stu10",977,1,0,0,1,0,0
"stu10",984,1,0,0,1,0,0
